nameFirst,nameLast,tname
Altoona Mountain City,Ed,Curtis
Anaheim Angels,Mike,Scioscia
Anaheim Angels,Joe,Maddon
Anaheim Angels,Terry,Collins
Arizona Diamondbacks,Alan,Trammell
Arizona Diamondbacks,Buck,Showalter
Arizona Diamondbacks,Al,Pedrique
Arizona Diamondbacks,Bob,Melvin
Arizona Diamondbacks,A. J.,Hinch
Arizona Diamondbacks,Chip,Hale
Arizona Diamondbacks,Kirk,Gibson
Arizona Diamondbacks,Bob,Brenly
Atlanta Braves,Eddie,Mathews
Atlanta Braves,Clyde,King
Atlanta Braves,Billy,Hitchcock
Atlanta Braves,Bobby,Wine
Atlanta Braves,Ted,Turner
Atlanta Braves,Joe,Torre
Atlanta Braves,Chuck,Tanner
Atlanta Braves,Brian,Snitker
Atlanta Braves,Ken,Silvestri
Atlanta Braves,Connie,Ryan
Atlanta Braves,Russ,Nixon
Atlanta Braves,Lum,Harris
Atlanta Braves,Eddie,Haas
Atlanta Braves,Fredi,Gonzalez
Atlanta Braves,Bobby,Cox
Atlanta Braves,Dave,Bristol
Atlanta Braves,Bobby,Bragan
Atlanta Braves,Vern,Benson
Baltimore Monumentals,Bill,Henderson
Baltimore Orioles,John,Waltz
Baltimore Orioles,Ned,Hanlon
Baltimore Orioles,Billy,Barnie
Baltimore Orioles,Mike,Hargrove
Baltimore Orioles,Jimmy,Dykes
Baltimore Orioles,Hank,Bauer
Baltimore Orioles,Joe,Altobelli
Baltimore Orioles,Earl,Weaver
Baltimore Orioles,Dave,Trembley
Baltimore Orioles,Buck,Showalter
Baltimore Orioles,Juan,Samuel
Baltimore Orioles,Frank,Robinson
Baltimore Orioles,Cal,Ripken
Baltimore Orioles,Paul,Richards
Baltimore Orioles,Phil,Regan
Baltimore Orioles,Sam,Perlozzo
Baltimore Orioles,Johnny,Oates
Baltimore Orioles,Ray,Miller
Baltimore Orioles,Lee,Mazzilli
Baltimore Orioles,Davey,Johnson
Baltimore Orioles,Billy,Hitchcock
Baltimore Orioles,Lum,Harris
Boston Americans,Don,Zimmer
Boston Americans,Rudy,York
Boston Americans,Jimy,Williams
Boston Americans,Dick,Williams
Boston Americans,Pete,Runnels
Boston Americans,Lou,Boudreau
Boston Americans,Eddie,Popowski
Boston Americans,Ed,Barrow
Boston Americans,Johnny,Pesky
Boston Americans,Del,Baker
Boston Americans,Steve,O'Neill
Boston Americans,Joe,Morgan
Boston Americans,John,McNamara
Boston Americans,Joe,McCarthy
Boston Americans,Grady,Little
Boston Americans,Fred,Lake
Boston Americans,Joe,Kerrigan
Boston Americans,Kevin,Kennedy
Boston Americans,Eddie,Kasko
Boston Americans,Billy,Jurges
Boston Americans,Darrell,Johnson
Boston Americans,George,Huff
Boston Americans,Ralph,Houk
Boston Americans,Butch,Hobson
Boston Americans,Pinky,Higgins
Boston Americans,Billy,Herman
Boston Americans,Bucky,Harris
Boston Americans,Terry,Francona
Boston Americans,Lee,Fohl
Boston Americans,John,Farrell
Boston Americans,Hugh,Duffy
Boston Americans,Patsy,Donovan
Boston Americans,Joe,Cronin
Boston Americans,Shano,Collins
Boston Americans,Heinie,Wagner
Boston Americans,Frank,Chance
Boston Americans,Bobby,Valentine
Boston Americans,Bill,Carrigan
Boston Beaneaters,Bill,McKechnie
Boston Beaneaters,Tommy,Holmes
Boston Beaneaters,Jim,Hart
Boston Beaneaters,Charlie,Grimm
Boston Beaneaters,Judge,Fuchs
Boston Beaneaters,Johnny,Cooney
Boston Beaneaters,Bob,Coleman
Boston Beaneaters,Al,Buckenberger
Boston Beaneaters,Del,Bissonette
Boston Beaneaters,Harry,Wright
Boston Beaneaters,Casey,Stengel
Boston Beaneaters,George,Stallings
Boston Beaneaters,Billy,Southworth
Boston Beaneaters,Jack,Slattery
Boston Beaneaters,Frank,Selee
Boston Beaneaters,Fred,Mitchell
Boston Bees,Harry,Wright
Boston Bees,Casey,Stengel
Boston Bees,George,Stallings
Boston Bees,Billy,Southworth
Boston Bees,Jack,Slattery
Boston Bees,Frank,Selee
Boston Bees,Fred,Mitchell
Boston Bees,Bill,McKechnie
Boston Bees,Tommy,Holmes
Boston Bees,Jim,Hart
Boston Bees,Charlie,Grimm
Boston Bees,Judge,Fuchs
Boston Bees,Johnny,Cooney
Boston Bees,Bob,Coleman
Boston Bees,Al,Buckenberger
Boston Bees,Del,Bissonette
Boston Braves,Jim,Hart
Boston Braves,Charlie,Grimm
Boston Braves,Judge,Fuchs
Boston Braves,Johnny,Cooney
Boston Braves,Bob,Coleman
Boston Braves,Al,Buckenberger
Boston Braves,Del,Bissonette
Boston Braves,Harry,Wright
Boston Braves,Casey,Stengel
Boston Braves,George,Stallings
Boston Braves,Billy,Southworth
Boston Braves,Jack,Slattery
Boston Braves,Frank,Selee
Boston Braves,Fred,Mitchell
Boston Braves,Bill,McKechnie
Boston Braves,Tommy,Holmes
Boston Doves,Harry,Wright
Boston Doves,Casey,Stengel
Boston Doves,George,Stallings
Boston Doves,Billy,Southworth
Boston Doves,Jack,Slattery
Boston Doves,Frank,Selee
Boston Doves,Fred,Mitchell
Boston Doves,Bill,McKechnie
Boston Doves,Tommy,Holmes
Boston Doves,Jim,Hart
Boston Doves,Charlie,Grimm
Boston Doves,Judge,Fuchs
Boston Doves,Johnny,Cooney
Boston Doves,Bob,Coleman
Boston Doves,Al,Buckenberger
Boston Doves,Del,Bissonette
Boston Red Caps,Casey,Stengel
Boston Red Caps,George,Stallings
Boston Red Caps,Billy,Southworth
Boston Red Caps,Jack,Slattery
Boston Red Caps,Frank,Selee
Boston Red Caps,Fred,Mitchell
Boston Red Caps,Bill,McKechnie
Boston Red Caps,Tommy,Holmes
Boston Red Caps,Jim,Hart
Boston Red Caps,Charlie,Grimm
Boston Red Caps,Judge,Fuchs
Boston Red Caps,Johnny,Cooney
Boston Red Caps,Bob,Coleman
Boston Red Caps,Al,Buckenberger
Boston Red Caps,Del,Bissonette
Boston Red Caps,Harry,Wright
Boston Red Sox,Butch,Hobson
Boston Red Sox,Pinky,Higgins
Boston Red Sox,Billy,Herman
Boston Red Sox,Bucky,Harris
Boston Red Sox,Terry,Francona
Boston Red Sox,Lee,Fohl
Boston Red Sox,John,Farrell
Boston Red Sox,Don,Zimmer
Boston Red Sox,Hugh,Duffy
Boston Red Sox,Rudy,York
Boston Red Sox,Patsy,Donovan
Boston Red Sox,Jimy,Williams
Boston Red Sox,Joe,Cronin
Boston Red Sox,Dick,Williams
Boston Red Sox,Shano,Collins
Boston Red Sox,Heinie,Wagner
Boston Red Sox,Frank,Chance
Boston Red Sox,Bobby,Valentine
Boston Red Sox,Bill,Carrigan
Boston Red Sox,Pete,Runnels
Boston Red Sox,Lou,Boudreau
Boston Red Sox,Eddie,Popowski
Boston Red Sox,Ed,Barrow
Boston Red Sox,Johnny,Pesky
Boston Red Sox,Del,Baker
Boston Red Sox,Steve,O'Neill
Boston Red Sox,Joe,Morgan
Boston Red Sox,John,McNamara
Boston Red Sox,Joe,McCarthy
Boston Red Sox,Grady,Little
Boston Red Sox,Fred,Lake
Boston Red Sox,Joe,Kerrigan
Boston Red Sox,Kevin,Kennedy
Boston Red Sox,Eddie,Kasko
Boston Red Sox,Billy,Jurges
Boston Red Sox,Darrell,Johnson
